249.9979501273,-129.1534740665,24.6629364723
251.5206835662,-131.2392933043,28.2447481987
252.7109435267,-133.0539570775,30.6978709987
253.7434200961,-134.7330821031,32.6281816986
254.6617594789,-136.3138454041,34.1808743218
255.5291365046,-137.8423206861,35.5805182463
256.3625253409,-139.3315140634,36.8862604009
257.1363515817,-140.7681069383,37.9972444311
257.8559542364,-142.1583074988,38.9281411800
258.5329899924,-143.5116586373,39.7184685732
259.1677171024,-144.8308668783,40.3644832659
259.7766285790,-146.1269078728,40.9267781185
260.3584435925,-147.4005745046,41.3976158852
260.9189560365,-148.6561677077,41.7974751612
261.4623348765,-149.8968359668,42.1409952045
261.9914397843,-151.1248480982,42.4380180281
262.5039977807,-152.3401613329,42.6774765567
263.0038520580,-153.5454140317,42.8733460288
263.4903418668,-154.7412927596,43.0211085072
263.9661656235,-155.9296293857,43.1306117717
264.4347934897,-157.1121498473,43.2156968139
265.3238488248,-159.4552512440,43.1901769300
266.1711357641,-161.7820853716,42.9900062610
266.9931212531,-164.1022886587,42.6780272167
267.7720549439,-166.4192666686,42.1604494347
268.5186013613,-168.7418639882,41.4729960294
268.8812937057,-169.9075835547,41.0688749374
269.2297263020,-171.0775875247,40.5865097542
269.5761332008,-172.2527979905,40.0843322702
269.9135712400,-173.4343420814,39.5260584454
270.2412973025,-174.6235388207,38.9055413103
270.5595700703,-175.8217320650,38.2215124828
270.8682550621,-177.0303464750,37.4706246828
271.1661813918,-178.2511042232,36.6438751587
271.4579515963,-179.4844706022,35.7630328487
271.7328374842,-180.7350250821,34.7667010618
271.9946063740,-182.0041233207,33.6708715415
272.2421232678,-183.2944729097,32.4648749468
272.4699519503,-184.6108732430,31.1129373238
272.6755898335,-185.9579621301,29.5940243650
272.8521198858,-187.3433293492,27.8598179617
272.9884343017,-188.7782601764,25.8344033352
273.0840489070,-190.2698783184,23.5019523952
273.0775466744,-191.8663021076,20.4695744493
272.9737660465,-193.1187960770,17.6044006326
265.6769253769,-157.9998674955,43.2875083898
266.5581448315,-160.3355664282,43.2270127238
267.3942562270,-162.6566958531,42.9710842972
268.1937461805,-164.9723614421,42.5443980916
268.9591762262,-167.2898398356,41.9457417440
251.4575188598,-129.2839966162,25.7569784095
252.8713834848,-131.2836436273,28.9770347221
254.0200584802,-133.0625161501,31.2992549766
255.0146819533,-134.7100992081,33.1056897981
255.9175495980,-136.2755679898,34.6122861842
256.7840762227,-137.7986095167,36.0187646644
257.5992136892,-139.2716279339,37.2648499277
274.2170277268,-191.8048952280,19.8484326246
274.1531187556,-192.6717381770,17.8816608380
261.2147485103,-144.6395164712,40.7904581139
261.8186424673,-145.9269703214,41.3337270905
262.3919849998,-147.1908019916,41.7697316257
262.9462252998,-148.4380924855,42.1420614340
263.4830314503,-149.6706516581,42.4556059238
264.0117438524,-150.8934926149,42.7473802602
264.5177789374,-152.1015036535,42.9544672399
265.0180310479,-153.3025315365,43.1461164943
265.5037810164,-154.4938851747,43.2840163153
265.9792535306,-155.6779289803,43.3847205318
267.3322572466,-159.1912403922,43.3954525122
268.1852905970,-161.5130122564,43.1978426441
268.9995412749,-163.8265835865,42.8226773602
269.7818082776,-166.1398045988,42.2887125836
270.5263703423,-168.4593962868,41.5543847058
270.8881581208,-169.6241893073,41.1252249374
271.2481517388,-170.7933502961,40.6786744705
271.5917355257,-171.9683051070,40.1390614950
271.9298036702,-173.1498761318,39.5591444092
272.2580187924,-174.3395909023,38.9143356007
272.5780740429,-175.5385898509,38.2108841034
272.8885474610,-176.7484502163,37.4386577829
273.1903437247,-177.9704726320,36.5996651187
273.4817218664,-179.2066914228,35.6813100883
274.2700902728,-183.0286135300,32.2800862807
274.4984916591,-184.3513403769,30.8808963035
274.7037639343,-185.7065113905,29.3038611453
274.8763046583,-187.1035924210,27.4828532204
275.0142371145,-188.5495155126,25.3951530202
